Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),F_pull_from_nugget,F_pull_from_thickness
45,60,1000,0,77.53,2857.7,0.636,0.62,AISI 1010 carbon steel,3299.1,4.21,Good,,1.256,3048.5841537441243,3456.5561666680906
46,60,1000,0,77.78,3348.76,0.63,0.631,AISI 1010 carbon steel,3158.6,3.65,Good,,1.261,2291.499279977889,3470.3163424908153
50,60,1000,0,77.92,3050.42,0.648,0.64,AISI 1010 carbon steel,3229.2,3.92,Good,,1.288,2643.05457202869,3544.6212919335203
52,60,1000,0,77.75,2890.61,0.638,0.641,AISI 1010 carbon steel,3909.3,3.57,Good,,1.279,2192.150810537826,3519.8529754526176
53,60,1000,0,85.48,2510.37,0.638,0.635,AISI 1010 carbon steel,3353.0,3.84,Good,,1.273,2536.2756076443575,3503.3407644653507
54,60,1000,0,85.49,2288.14,0.639,0.631,AISI 1010 carbon steel,3269.8,3.94,Good,,1.27,2670.0933175203413,3495.0846589717157
55,60,1000,0,82.83,2442.31,0.637,0.637,AISI 1010 carbon steel,3311.1,3.71,Good,,1.274,2367.455450519321,3506.092799629895
56,80,1000,0,102.48,3816.83,0.635,0.634,AISI 1010 carbon steel,3002.5,3.75,Good,,1.269,2418.780906338079,3492.332623807171
60,80,1000,0,96.29,3615.49,0.631,0.64,AISI 1010 carbon steel,2946.9,3.73,Good,,1.271,2393.0493775495866,3497.8366941362606
61,80,1000,0,100.69,3379.44,0.62,0.634,AISI 1010 carbon steel,2911.6,3.74,Good,,1.254,2405.897941724055,3451.052096339002
63,80,1000,0,100.02,3437.47,0.632,0.632,AISI 1010 carbon steel,3022.2,3.43,Good,,1.264,2023.588656709466,3478.5724479844484
66,80,1000,0,104.78,3866.08,0.628,0.63,AISI 1010 carbon steel,2618.5,3.19,Good,,1.258,1750.3115648701814,3462.0602369971807
67,80,1000,0,104.09,3323.5,0.634,0.617,AISI 1010 carbon steel,2756.7,3.42,Good,,1.251,2011.806506161259,3442.795990845368
69,80,1000,0,103.65,3215.12,0.616,0.636,AISI 1010 carbon steel,2654.4,3.47,Good,,1.252,2071.0612632978614,3445.548026009912
71,80,1000,0,104.82,3291.78,0.626,0.624,AISI 1010 carbon steel,2964.2,3.52,Good,,1.25,2131.176031423384,3440.043955680824
74,80,1000,0,105.43,2978.53,0.632,0.629,AISI 1010 carbon steel,3321.3,3.62,Good,,1.261,2253.985600641189,3470.3163424908153
77,80,1000,0,106.34,3056.61,0.635,0.635,AISI 1010 carbon steel,2881.7,3.43,Good,,1.27,2023.588656709466,3495.0846589717157
84,80,1000,0,106.71,3342.59,0.641,0.622,AISI 1010 carbon steel,2741.1,3.35,Good,,1.263,1930.2946646314022,3475.820412819903
85,80,800,0,114.77,3367.71,0.641,0.635,AISI 1010 carbon steel,2659.2,3.22,Good,,1.276,1783.3875875040526,3511.596869958984
87,80,800,0,114.86,3745.87,0.634,0.63,AISI 1010 carbon steel,2890.6,3.75,Good,,1.264,2418.780906338079,3478.5724479844484
91,80,800,0,114.95,3068.97,0.645,0.653,AISI 1010 carbon steel,2843.4,3.47,Good,,1.298,2071.0612632978614,3572.1416435789674
92,80,800,0,115.4,3074.57,0.645,0.635,AISI 1010 carbon steel,2726.7,3.53,Good,,1.28,2143.3021863671584,3522.6050106171633
93,80,800,0,115.36,3487.64,0.638,0.65,AISI 1010 carbon steel,2783.6,3.41,Good,,1.288,2000.0587560526096,3544.6212919335203
95,80,800,0,114.79,3100.19,0.623,0.633,AISI 1010 carbon steel,2585.6,3.14,Good,,1.256,1695.8728692715324,3456.5561666680906
99,80,800,0,115.37,3366.69,0.653,0.635,AISI 1010 carbon steel,2582.0,3.09,Good,,1.288,1642.2941846618035,3544.6212919335203
101,80,800,0,115.54,2929.03,0.625,0.631,AISI 1010 carbon steel,2683.1,3.41,Good,,1.256,2000.0587560526096,3456.5561666680906
102,80,800,0,115.75,3398.72,0.629,0.628,AISI 1010 carbon steel,2757.8,3.45,Good,,1.257,2047.25615912455,3459.3082018326354
103,80,800,0,115.91,3560.85,0.631,0.63,AISI 1010 carbon steel,2657.4,3.22,Good,,1.261,1783.3875875040526,3470.3163424908153
104,80,800,0,115.94,3088.52,0.628,0.635,AISI 1010 carbon steel,2578.4,2.99,Good,,1.263,1537.7168484091067,3475.820412819903
106,80,800,0,116.1,3162.81,0.639,0.637,AISI 1010 carbon steel,2702.2,3.34,Good,,1.276,1918.7877175996496,3511.596869958984
107,80,800,0,116.01,3104.63,0.638,0.64,AISI 1010 carbon steel,2652.0,3.1,Good,,1.278,1652.941120704636,3517.1009402880745
109,80,800,0,115.8,3371.29,0.638,0.632,AISI 1010 carbon steel,2580.8,3.75,Good,,1.27,2418.780906338079,3495.0846589717157
110,80,800,0,115.6,3074.57,0.642,0.634,AISI 1010 carbon steel,2981.5,3.2,Good,,1.276,1761.3025053085817,3511.596869958984
111,80,800,0,115.49,3371.8,0.638,0.634,AISI 1010 carbon steel,2832.0,2.96,Good,,1.272,1507.014456104655,3500.588729300806
112,80,800,0,115.61,3100.19,0.634,0.635,AISI 1010 carbon steel,2594.0,3.28,Good,,1.269,1850.4684446398282,3492.332623807171
113,80,800,0,115.92,3435.47,0.632,0.632,AISI 1010 carbon steel,2511.4,3.02,Good,,1.264,1568.728844669569,3478.5724479844484
114,80,800,0,115.99,3034.59,0.646,0.651,AISI 1010 carbon steel,3062.9,3.28,Good,,1.2970000000000002,1850.4684446398282,3569.3896084144235
115,80,800,0,115.98,3086.29,0.633,0.629,AISI 1010 carbon steel,2809.9,3.44,Good,,1.262,2035.4052076972296,3473.06837765536
116,80,800,0,116.04,3104.63,0.633,0.64,AISI 1010 carbon steel,2643.0,3.07,Good,,1.273,1621.1035138948096,3503.3407644653507
118,80,800,0,115.91,3470.34,0.635,0.635,AISI 1010 carbon steel,2692.7,3.42,Good,,1.27,2011.806506161259,3495.0846589717157
119,80,800,0,115.91,2965.79,0.627,0.641,AISI 1010 carbon steel,2685.5,3.28,Good,,1.268,1850.4684446398282,3489.5805886426274
122,80,800,0,114.15,3298.04,0.624,0.631,AISI 1010 carbon steel,2723.2,3.24,Good,,1.255,1805.6102714577507,3453.804131503546
123,80,800,0,112.38,3333.32,0.632,0.665,AISI 1010 carbon steel,2770.0,2.95,Good,,1.2970000000000002,1496.8491262156185,3569.3896084144235
125,80,800,0,114.64,3127.81,0.637,0.644,AISI 1010 carbon steel,2963.0,3.44,Good,,1.281,2035.4052076972296,3525.357045781708
126,80,800,0,113.8,3341.56,0.625,0.634,AISI 1010 carbon steel,2726.7,3.28,Good,,1.259,1850.4684446398282,3464.812272161726
132,80,800,0,114.38,3430.46,0.634,0.639,AISI 1010 carbon steel,2804.5,3.52,Good,,1.273,2131.176031423384,3503.3407644653507
133,80,800,0,114.68,3150.28,0.623,0.634,AISI 1010 carbon steel,2726.1,3.62,Good,,1.257,2253.985600641189,3459.3082018326354
134,80,800,0,114.71,2983.72,0.636,0.648,AISI 1010 carbon steel,2834.4,3.72,Good,,1.284,2380.2352138146757,3533.6131512753423
135,80,800,0,114.26,3178.0,0.639,0.635,AISI 1010 carbon steel,2541.9,3.19,Good,,1.274,1750.3115648701814,3506.092799629895
138,80,600,0,103.95,4029.03,0.623,0.616,AISI 1010 carbon steel,2704.5,3.27,Good,,1.239,1839.202300684974,3409.771568870833
139,80,600,0,104.29,3240.7,0.624,0.619,AISI 1010 carbon steel,2823.6,2.86,Good,,1.243,1406.909176994343,3420.779709529011
140,80,600,0,104.3,3290.74,0.621,0.626,AISI 1010 carbon steel,2614.3,3.15,Good,,1.247,1706.6918075121484,3431.7878501871905
141,80,600,0,105.0,3010.69,0.618,0.622,AISI 1010 carbon steel,2813.5,3.3,Good,,1.24,1873.103933868208,3412.5236040353775
143,80,600,0,107.55,3275.54,0.625,0.628,AISI 1010 carbon steel,2743.5,3.17,Good,,1.253,1728.4328853120514,3448.3000611744565
144,80,600,0,107.83,2973.32,0.618,0.619,AISI 1010 carbon steel,2707.6,3.38,Good,,1.237,1965.0219083639997,3404.267498541744
146,80,600,0,107.67,2936.65,0.62,0.62,AISI 1010 carbon steel,2744.7,3.65,Good,,1.24,2291.499279977889,3412.5236040353775
147,80,600,0,107.91,3023.8,0.616,0.618,AISI 1010 carbon steel,2762.0,3.22,Good,,1.234,1783.3875875040526,3396.0113930481093
148,80,600,0,107.86,2882.27,0.62,0.612,AISI 1010 carbon steel,2743.9,3.3,Good,,1.232,1873.103933868208,3390.5073227190196
149,80,600,0,107.57,2807.91,0.616,0.617,AISI 1010 carbon steel,2812.3,3.48,Good,,1.233,2083.015416043852,3393.2593578835654
150,80,600,0,107.7,3483.69,0.619,0.624,AISI 1010 carbon steel,2918.9,3.15,Good,,1.243,1706.6918075121484,3420.779709529011
151,80,600,0,107.74,3224.74,0.623,0.615,AISI 1010 carbon steel,2666.9,3.1,Good,,1.238,1652.941120704636,3407.019533706288
152,80,600,0,107.67,3523.46,0.623,0.618,AISI 1010 carbon steel,2680.1,2.98,Good,,1.241,1527.4483172013993,3415.275639199922
154,80,600,0,107.31,2722.06,0.636,0.638,AISI 1010 carbon steel,2587.4,3.33,Good,,1.274,1907.3151710074544,3506.092799629895
156,80,600,0,107.45,2809.75,0.625,0.634,AISI 1010 carbon steel,2655.0,3.27,Good,,1.259,1839.202300684974,3464.812272161726
157,80,600,0,107.87,3192.58,0.642,0.646,AISI 1010 carbon steel,2583.2,2.83,Good,,1.288,1377.5484018326074,3544.6212919335203
162,80,600,0,108.36,2734.04,0.618,0.628,AISI 1010 carbon steel,2830.2,3.52,Explode,,1.246,2131.176031423384,3429.035815022645
163,80,600,0,108.21,3085.18,0.641,0.638,AISI 1010 carbon steel,2781.8,3.67,Good,,1.279,2316.680401733472,3519.8529754526176
164,80,600,0,107.82,3155.19,0.631,0.636,AISI 1010 carbon steel,2752.5,3.18,Good,,1.267,1739.355024871338,3486.8285534780816
165,80,600,0,108.34,3983.52,0.635,0.638,AISI 1010 carbon steel,2735.7,3.39,Good,,1.273,1976.6664571539795,3503.3407644653507
167,80,600,0,107.89,3474.3,0.642,0.637,AISI 1010 carbon steel,2734.5,3.34,Good,,1.279,1918.7877175996496,3519.8529754526176
168,80,600,0,108.17,3725.15,0.64,0.631,AISI 1010 carbon steel,2531.8,3.0,Good,,1.271,1548.0197800563706,3497.8366941362606
169,80,600,0,108.59,3415.89,0.634,0.636,AISI 1010 carbon steel,2678.9,3.37,Good,,1.27,1953.4117600135774,3495.0846589717157
172,80,600,0,108.09,3905.03,0.632,0.633,AISI 1010 carbon steel,2803.3,3.69,Good,,1.265,2341.999125247283,3481.3244831489933
173,80,600,0,108.36,4029.88,0.636,0.631,AISI 1010 carbon steel,2849.4,3.44,Good,,1.267,2035.4052076972296,3486.8285534780816
175,80,600,0,108.68,4017.06,0.625,0.64,AISI 1010 carbon steel,2769.8,4.02,Good,,1.265,2779.6243170692183,3481.3244831489933
176,80,600,0,108.45,3701.99,0.64,0.634,AISI 1010 carbon steel,2768.6,3.6,Good,,1.274,2229.148483281174,3506.092799629895
177,80,600,0,108.11,3079.04,0.64,0.635,AISI 1010 carbon steel,2955.2,3.42,Good,,1.275,2011.806506161259,3508.8448347944386
179,80,600,0,108.3,4010.63,0.632,0.636,AISI 1010 carbon steel,2743.5,3.35,Good,,1.268,1930.2946646314022,3489.5805886426274
180,80,600,0,108.2,3040.82,0.629,0.625,AISI 1010 carbon steel,2802.1,3.85,Good,,1.254,2549.5025766539507,3451.052096339002
182,80,600,0,108.2,3153.0,0.636,0.633,AISI 1010 carbon steel,2765.0,3.49,Good,,1.269,2095.0039692294004,3492.332623807171
183,80,600,0,108.32,3040.25,0.634,0.629,AISI 1010 carbon steel,2783.0,3.63,Good,,1.263,2266.455759980532,3475.820412819903
184,80,600,0,108.77,3078.48,0.637,0.633,AISI 1010 carbon steel,2731.5,3.29,Good,,1.27,1861.7689890342401,3495.0846589717157
188,60,400,0,91.6,2933.14,0.64,0.617,AISI 1010 carbon steel,2908.6,3.22,Good,,1.257,1783.3875875040526,3459.3082018326354
189,60,400,0,91.17,3119.0,0.64,0.633,AISI 1010 carbon steel,2634.6,2.7,Bad,,1.273,1253.8960218456602,3503.3407644653507
190,60,400,0,91.9,3344.14,0.642,0.636,AISI 1010 carbon steel,2766.2,3.03,Good,,1.278,1579.1349776355037,3517.1009402880745
191,60,400,0,91.89,3352.87,0.64,0.637,AISI 1010 carbon steel,3056.3,3.4,Good,,1.277,1988.3454063835156,3514.348905123529
192,60,400,0,91.92,3598.8,0.646,0.634,AISI 1010 carbon steel,2737.5,3.19,Good,,1.28,1750.3115648701814,3522.6050106171633
193,60,400,0,91.98,2901.3,0.638,0.642,AISI 1010 carbon steel,2774.6,3.23,Good,,1.28,1794.4817292611233,3522.6050106171633
194,60,400,0,91.87,3704.78,0.627,0.632,AISI 1010 carbon steel,2879.3,3.24,Good,,1.259,1805.6102714577507,3464.812272161726
195,60,400,0,92.05,3424.44,0.631,0.635,AISI 1010 carbon steel,2912.8,3.4,Good,,1.266,1988.3454063835156,3484.0765183135377
196,60,400,0,92.23,2727.75,0.617,0.627,AISI 1010 carbon steel,2608.9,3.53,Good,,1.244,2143.3021863671584,3423.5317446935555
199,60,400,0,91.8,3642.98,0.637,0.634,AISI 1010 carbon steel,2723.2,3.65,Good,,1.271,2291.499279977889,3497.8366941362606
203,60,400,0,92.71,3277.12,0.643,0.631,AISI 1010 carbon steel,2727.9,3.16,Good,,1.274,1717.5451461923217,3506.092799629895
204,60,400,0,93.01,3031.75,0.638,0.639,AISI 1010 carbon steel,2714.2,3.5,Good,,1.277,2107.0269228545044,3514.348905123529
205,60,400,0,93.15,3342.08,0.642,0.635,AISI 1010 carbon steel,2933.7,3.41,Good,,1.277,2000.0587560526096,3514.348905123529
210,60,400,0,92.98,3047.6,0.636,0.632,AISI 1010 carbon steel,2714.8,3.7,Good,,1.268,2354.710087663524,3489.5805886426274
211,60,400,0,92.93,2883.46,0.631,0.627,AISI 1010 carbon steel,2720.2,3.52,Good,,1.258,2131.176031423384,3462.0602369971807
212,60,400,0,93.07,2519.95,0.626,0.629,AISI 1010 carbon steel,2719.6,3.25,Good,,1.255,1816.773214093935,3453.804131503546
217,60,400,0,93.27,2964.63,0.632,0.639,AISI 1010 carbon steel,2969.0,3.16,Good,,1.271,1717.5451461923217,3497.8366941362606
219,60,400,0,93.01,3140.98,0.621,0.632,AISI 1010 carbon steel,2748.3,3.38,Good,,1.253,1965.0219083639997,3448.3000611744565
220,60,400,0,93.0,3292.3,0.633,0.631,AISI 1010 carbon steel,2604.1,3.22,Good,,1.264,1783.3875875040526,3478.5724479844484
221,60,400,0,93.02,3049.29,0.64,0.622,AISI 1010 carbon steel,2787.2,3.6,Good,,1.262,2229.148483281174,3473.06837765536
222,60,400,0,93.15,3222.07,0.636,0.641,AISI 1010 carbon steel,2750.7,3.43,Good,,1.277,2023.588656709466,3514.348905123529
224,60,400,0,93.03,3401.76,0.614,0.628,AISI 1010 carbon steel,2649.6,3.6,Good,,1.242,2229.148483281174,3418.027674364466
226,60,400,0,93.18,3308.46,0.641,0.633,AISI 1010 carbon steel,2729.7,3.02,Good,,1.274,1568.728844669569,3506.092799629895
227,60,400,0,93.19,3145.9,0.628,0.635,AISI 1010 carbon steel,2762.0,3.61,Good,,1.263,2241.549841741403,3475.820412819903
228,60,400,0,92.91,3124.51,0.619,0.642,AISI 1010 carbon steel,2808.7,3.53,Good,,1.261,2143.3021863671584,3470.3163424908153
229,60,400,0,92.56,3628.31,0.638,0.634,AISI 1010 carbon steel,2701.6,3.52,Good,,1.272,2131.176031423384,3500.588729300806
231,60,400,0,92.65,3587.79,0.637,0.627,AISI 1010 carbon steel,2678.9,3.58,Good,,1.264,2204.448967679385,3478.5724479844484
232,60,400,0,92.53,3023.8,0.638,0.629,AISI 1010 carbon steel,2620.3,3.24,Good,,1.267,1805.6102714577507,3486.8285534780816
233,60,400,0,92.69,2970.43,0.638,0.632,AISI 1010 carbon steel,2896.6,3.55,Good,,1.27,2167.6576975733788,3495.0846589717157
235,60,400,0,92.76,3707.1,0.628,0.634,AISI 1010 carbon steel,2616.7,3.07,Bad,,1.262,1621.1035138948096,3473.06837765536
237,60,1000,15,75.28,3955.36,0.636,0.639,AISI 1010 carbon steel,3228.6,3.61,Good,,1.275,2241.549841741403,3508.8448347944386
238,60,1000,15,77.54,3548.27,0.632,0.635,AISI 1010 carbon steel,3229.2,3.48,Good,,1.267,2083.015416043852,3486.8285534780816
239,60,1000,15,77.02,4210.64,0.624,0.625,AISI 1010 carbon steel,3216.0,3.66,Good,,1.249,2304.072640635902,3437.29192051628
240,60,1000,15,76.94,3456.43,0.634,0.633,AISI 1010 carbon steel,3232.8,3.5,Good,,1.267,2107.0269228545044,3486.8285534780816
241,60,1000,15,76.65,2924.33,0.638,0.634,AISI 1010 carbon steel,3219.6,3.46,Good,,1.272,2059.1415109914274,3500.588729300806
243,60,1000,15,75.25,3474.3,0.627,0.637,AISI 1010 carbon steel,3228.6,3.85,Good,,1.264,2549.5025766539507,3478.5724479844484
244,60,1000,15,73.97,4443.18,0.639,0.639,AISI 1010 carbon steel,3242.3,4.57,Good,,1.278,3592.248700499922,3517.1009402880745
245,60,1000,15,73.41,3506.82,0.641,0.633,AISI 1010 carbon steel,3124.5,3.66,Good,,1.274,2304.072640635902,3506.092799629895
246,60,1000,15,73.37,3528.34,0.64,0.63,AISI 1010 carbon steel,3039.0,3.33,Good,,1.27,1907.3151710074544,3495.0846589717157
247,60,1000,15,76.31,3842.87,0.644,0.631,AISI 1010 carbon steel,3242.3,3.55,Good,,1.275,2167.6576975733788,3508.8448347944386
248,60,1000,15,77.18,3952.31,0.635,0.635,AISI 1010 carbon steel,3121.5,3.52,Good,,1.27,2131.176031423384,3495.0846589717157
249,60,1000,15,75.67,3490.11,0.631,0.635,AISI 1010 carbon steel,3172.9,4.19,Good,,1.266,3019.687784516406,3484.0765183135377
252,60,1000,15,-99.0,-99.0,0.639,0.633,AISI 1010 carbon steel,3168.2,3.39,Good,Communication error,1.272,1976.6664571539795,3500.588729300806
255,60,1000,15,73.29,4144.76,0.63,0.64,AISI 1010 carbon steel,3167.0,3.3,Good,,1.27,1873.103933868208,3495.0846589717157
256,60,1000,15,73.32,3518.57,0.623,0.632,AISI 1010 carbon steel,3016.2,3.54,Good,,1.255,2155.4627417504903,3453.804131503546
257,60,1000,15,73.53,4023.05,0.633,0.629,AISI 1010 carbon steel,3163.4,3.29,Good,,1.262,1861.7689890342401,3473.06837765536
258,60,1000,15,73.4,3812.32,0.641,0.637,AISI 1010 carbon steel,3188.5,3.9,Good,,1.278,2616.153428295266,3517.1009402880745
259,60,1000,15,73.27,3653.35,0.635,0.633,AISI 1010 carbon steel,3056.6,3.36,Good,,1.268,1941.836012102711,3489.5805886426274
260,60,1000,15,73.43,4362.31,0.633,0.626,AISI 1010 carbon steel,3098.8,3.61,Good,,1.259,2241.549841741403,3464.812272161726
261,60,1000,15,73.6,3674.48,0.633,0.631,AISI 1010 carbon steel,3013.7,3.57,Good,,1.264,2192.150810537826,3478.5724479844484
263,60,1000,15,73.95,3776.05,0.63,0.646,AISI 1010 carbon steel,3056.3,3.98,Good,,1.276,2724.5836137783263,3511.596869958984
264,60,1000,15,74.08,3758.25,0.636,0.638,AISI 1010 carbon steel,3226.8,3.72,Good,,1.274,2380.2352138146757,3506.092799629895
265,60,1000,15,74.04,4658.6,0.637,0.637,AISI 1010 carbon steel,3152.0,3.7,Good,,1.274,2354.710087663524,3506.092799629895
268,60,1000,15,74.11,4072.34,0.641,0.639,AISI 1010 carbon steel,3053.3,3.68,Good,,1.28,2329.3225632705994,3522.6050106171633
269,60,1000,15,74.06,3901.51,0.643,0.642,AISI 1010 carbon steel,3220.8,3.62,Good,,1.285,2253.985600641189,3536.365186439886
271,60,1000,15,77.74,4452.85,0.647,0.64,AISI 1010 carbon steel,3151.2,3.65,Good,,1.287,2291.499279977889,3541.869256768976
272,60,1000,15,78.69,4125.22,0.638,0.631,AISI 1010 carbon steel,3160.4,3.57,Good,,1.269,2192.150810537826,3492.332623807171
274,60,1000,15,80.22,3699.67,0.622,0.618,AISI 1010 carbon steel,3089.2,3.76,Good,,1.24,2431.6982713916605,3412.5236040353775
275,60,1000,15,79.86,4069.81,0.611,0.62,AISI 1010 carbon steel,3053.9,3.67,Good,,1.231,2316.680401733472,3387.7552875544748
278,60,1000,15,79.73,3791.51,0.62,0.621,AISI 1010 carbon steel,2922.3,3.68,Good,,1.241,2329.3225632705994,3415.275639199922
281,60,1000,15,77.69,4528.68,0.617,0.62,AISI 1010 carbon steel,3117.3,3.68,Good,,1.237,2329.3225632705994,3404.267498541744
282,60,1000,15,77.07,3727.46,0.622,0.612,AISI 1010 carbon steel,3001.9,4.24,Good,,1.234,3092.186710882379,3396.0113930481093
284,60,1000,15,76.72,3778.78,0.624,0.619,AISI 1010 carbon steel,3107.1,3.28,Good,,1.243,1850.4684446398282,3420.779709529011
285,60,1000,15,76.57,4481.34,0.627,0.63,AISI 1010 carbon steel,3155.6,3.55,Good,,1.257,2167.6576975733788,3459.3082018326354
286,60,800,15,74.76,4577.79,0.623,0.62,AISI 1010 carbon steel,3136.5,3.99,Good,,1.243,2738.2921889417144,3420.779709529011
289,60,800,15,74.79,3642.51,0.629,0.629,AISI 1010 carbon steel,3135.3,3.73,Good,,1.258,2393.0493775495866,3462.0602369971807
290,60,800,15,75.17,3682.89,0.625,0.628,AISI 1010 carbon steel,3175.3,3.66,Good,,1.253,2304.072640635902,3448.3000611744565
291,60,800,15,75.27,4413.27,0.628,0.623,AISI 1010 carbon steel,3250.1,4.03,Good,,1.251,2793.470493990835,3442.795990845368
292,60,800,15,75.04,4022.19,0.633,0.628,AISI 1010 carbon steel,2828.4,3.43,Good,,1.261,2023.588656709466,3470.3163424908153
293,60,800,15,75.01,3307.94,0.62,0.615,AISI 1010 carbon steel,2806.9,3.34,Good,,1.235,1918.7877175996496,3398.7634282126537
294,60,800,15,74.94,3094.08,0.621,0.621,AISI 1010 carbon steel,3050.9,3.68,Good,,1.242,2329.3225632705994,3418.027674364466
296,60,800,15,74.9,3263.44,0.629,0.623,AISI 1010 carbon steel,3152.6,3.56,Good,,1.252,2179.8870538358246,3445.548026009912
297,60,800,15,74.82,3017.54,0.622,0.622,AISI 1010 carbon steel,3016.2,3.73,Good,,1.244,2393.0493775495866,3423.5317446935555
299,60,800,15,75.21,3427.45,0.631,0.615,AISI 1010 carbon steel,3039.6,3.3,Good,,1.246,1873.103933868208,3429.035815022645
300,60,800,15,80.69,4852.11,0.613,0.622,AISI 1010 carbon steel,2746.5,3.87,Good,,1.235,2576.0597159918066,3398.7634282126537
301,60,800,15,80.89,3454.44,0.62,0.62,AISI 1010 carbon steel,3017.4,3.57,Good,,1.24,2192.150810537826,3412.5236040353775
302,60,800,15,80.49,3502.9,0.631,0.625,AISI 1010 carbon steel,3061.1,3.72,Good,,1.256,2380.2352138146757,3456.5561666680906
305,60,800,15,81.25,3508.78,0.628,0.62,AISI 1010 carbon steel,3114.3,3.7,Good,,1.248,2354.710087663524,3434.539885351734
306,60,800,15,80.29,3571.94,0.629,0.627,AISI 1010 carbon steel,3104.8,3.59,Good,,1.256,2216.781525260501,3456.5561666680906
307,60,800,15,79.88,3543.42,0.631,0.62,AISI 1010 carbon steel,2866.1,3.67,Good,,1.251,2316.680401733472,3442.795990845368
308,60,800,15,79.81,3138.79,0.621,0.627,AISI 1010 carbon steel,3196.9,3.65,Explode,,1.248,2291.499279977889,3434.539885351734
310,60,800,15,78.65,3182.32,0.627,0.62,AISI 1010 carbon steel,3073.7,3.39,Good,,1.247,1976.6664571539795,3431.7878501871905
311,60,800,15,78.62,3119.0,0.631,0.632,AISI 1010 carbon steel,2978.0,3.65,Good,,1.263,2291.499279977889,3475.820412819903
313,60,800,15,78.71,3510.74,0.632,0.63,AISI 1010 carbon steel,3236.9,3.45,Good,,1.262,2047.25615912455,3473.06837765536
314,60,800,15,78.09,3709.42,0.63,0.624,AISI 1010 carbon steel,3062.3,3.72,Good,,1.254,2380.2352138146757,3451.052096339002
318,60,800,15,78.07,3403.28,0.633,0.632,AISI 1010 carbon steel,3132.3,3.74,Good,,1.265,2405.897941724055,3481.3244831489933
320,60,800,15,82.81,3507.8,0.632,0.632,AISI 1010 carbon steel,3012.0,3.8,Good,,1.264,2483.7117360015545,3478.5724479844484
324,60,800,15,79.24,3432.96,0.632,0.624,AISI 1010 carbon steel,3025.2,3.58,Explode,,1.256,2204.448967679385,3456.5561666680906
